,filepath,label
0,/root/ktg/Capstone2/dataset/img/train/2666.jpg,0
1,/root/ktg/Capstone2/dataset/img/train/2100.jpg,0
2,/root/ktg/Capstone2/dataset/img/train/0717.jpg,0
3,/root/ktg/Capstone2/dataset/img/train/2672.jpg,0
4,/root/ktg/Capstone2/dataset/img/train/1353.jpg,0
5,/root/ktg/Capstone2/dataset/img/train/1435.jpg,0
6,/root/ktg/Capstone2/dataset/img/train/2128.jpg,0
7,/root/ktg/Capstone2/dataset/img/train/1421.jpg,0
8,/root/ktg/Capstone2/dataset/img/train/0918.jpg,0
9,/root/ktg/Capstone2/dataset/img/train/2869.jpg,0
10,/root/ktg/Capstone2/dataset/img/train/1390.jpg,0
11,/root/ktg/Capstone2/dataset/img/train/0930.jpg,0
12,/root/ktg/Capstone2/dataset/img/train/0924.jpg,0
13,/root/ktg/Capstone2/dataset/img/train/2855.jpg,0
14,/root/ktg/Capstone2/dataset/img/train/1384.jpg,0
15,/root/ktg/Capstone2/dataset/img/train/1179.jpg,0
16,/root/ktg/Capstone2/dataset/img/train/2470.jpg,0
17,/root/ktg/Capstone2/dataset/img/train/0501.jpg,0
18,/root/ktg/Capstone2/dataset/img/train/3020.jpg,0
19,/root/ktg/Capstone2/dataset/img/train/1637.jpg,0
20,/root/ktg/Capstone2/dataset/img/train/1623.jpg,0
21,/root/ktg/Capstone2/dataset/img/train/3034.jpg,0
22,/root/ktg/Capstone2/dataset/img/train/1810.jpg,0
23,/root/ktg/Capstone2/dataset/img/train/1804.jpg,0
24,/root/ktg/Capstone2/dataset/img/train/1192.jpg,0
25,/root/ktg/Capstone2/dataset/img/train/0618Cardiomegaly..jpg,0
26,/root/ktg/Capstone2/dataset/img/train/0461.jpg,0
27,/root/ktg/Capstone2/dataset/img/train/3168.jpg,0
28,/root/ktg/Capstone2/dataset/img/train/2510.jpg,0
29,/root/ktg/Capstone2/dataset/img/train/2538.jpg,0
30,/root/ktg/Capstone2/dataset/img/train/1757.jpg,0
31,/root/ktg/Capstone2/dataset/img/train/3140.jpg,0
32,/root/ktg/Capstone2/dataset/img/train/1964.jpg,0
33,/root/ktg/Capstone2/dataset/img/train/1970.jpg,0
34,/root/ktg/Capstone2/dataset/img/train/3197.jpg,0
35,/root/ktg/Capstone2/dataset/img/train/2289.jpg,0
36,/root/ktg/Capstone2/dataset/img/train/2712.jpg,0
37,/root/ktg/Capstone2/dataset/img/train/2074.jpg,0
38,/root/ktg/Capstone2/dataset/img/train/2060.jpg,0
39,/root/ktg/Capstone2/dataset/img/train/2706.jpg,0
40,/root/ktg/Capstone2/dataset/img/train/1227.jpg,0
41,/root/ktg/Capstone2/dataset/img/train/0887.jpg,0
42,/root/ktg/Capstone2/dataset/img/train/3356.jpg,0
43,/root/ktg/Capstone2/dataset/img/train/2048.jpg,0
44,/root/ktg/Capstone2/dataset/img/train/1555.jpg,0
45,/root/ktg/Capstone2/dataset/img/train/1233.jpg,0
46,/root/ktg/Capstone2/dataset/img/train/2909.jpg,0
47,/root/ktg/Capstone2/dataset/img/train/0878.jpg,0
48,/root/ktg/Capstone2/dataset/img/train/2935.jpg,0
49,/root/ktg/Capstone2/dataset/img/train/0688.jpg,0
50,/root/ktg/Capstone2/dataset/img/train/0850.jpg,0
51,/root/ktg/Capstone2/dataset/img/train/1596.jpg,0
52,/root/ktg/Capstone2/dataset/img/train/3381.jpg,0
53,/root/ktg/Capstone2/dataset/img/train/0998Cardiomegaly..jpg,0
54,/root/ktg/Capstone2/dataset/img/train/0851.jpg,0
55,/root/ktg/Capstone2/dataset/img/train/0689.jpg,0
56,/root/ktg/Capstone2/dataset/img/train/2920.jpg,0
57,/root/ktg/Capstone2/dataset/img/train/3394.jpg,0
58,/root/ktg/Capstone2/dataset/img/train/2908.jpg,0
59,/root/ktg/Capstone2/dataset/img/train/0879.jpg,0
60,/root/ktg/Capstone2/dataset/img/train/0892.jpg,0
61,/root/ktg/Capstone2/dataset/img/train/1226.jpg,0
62,/root/ktg/Capstone2/dataset/img/train/2049.jpg,0
63,/root/ktg/Capstone2/dataset/img/train/0886.jpg,0
64,/root/ktg/Capstone2/dataset/img/train/1568.jpg,0
